date,year,month,year_month,day_of_week,holiday,weekend_or_holiday,calls_presented,avg_queue_time,max_queue_time,calls_handled,avg_speed_of_answer,avg_handle_time,max_handle_time,calls_abandoned,target_seconds,answered_within_target,abandoned_within_target,pct_handled_within_target,pct_within_target_excl_abandoned,pct_within_target_abandoned_positive,pct_answered_within_target,percentage_of_calls_handled,percentage_of_calls_abandoned
2021-08-02,2021,Aug,2021-08-01,Mon,TRUE,TRUE,184,49,488,166,46,119,1052,18,30,121,9,72.9,69.1,70.7,65.8,90.2,9.8
2021-08-03,2021,Aug,2021-08-01,Tue,FALSE,FALSE,428,43,465,397,41,118,1031,31,30,290,16,73.1,70.4,71.5,67.8,92.8,7.2
2021-08-04,2021,Aug,2021-08-01,Wed,FALSE,FALSE,381,52,569,348,49,125,1727,33,30,244,14,70.1,66.5,67.7,64,91.3,8.7
2021-08-05,2021,Aug,2021-08-01,Thu,FALSE,FALSE,364,50,583,324,48,135,850,40,30,242,19,74.7,70.1,71.7,66.5,89,11
2021-08-06,2021,Aug,2021-08-01,Fri,FALSE,FALSE,313,35,413,296,35,139,773,17,30,231,10,78,76.2,77,73.8,94.6,5.4
2021-08-07,2021,Aug,2021-08-01,Sat,FALSE,TRUE,134,25,317,128,22,114,914,6,30,111,2,86.7,84.1,84.3,82.8,95.5,4.5
2021-08-08,2021,Aug,2021-08-01,Sun,FALSE,TRUE,88,37,612,81,29,206,4549,7,30,69,3,85.2,81.2,81.8,78.4,92.1,8
2021-08-09,2021,Aug,2021-08-01,Mon,FALSE,FALSE,446,141,1238,379,144,148,1107,67,30,214,18,56.5,50,52,48,85,15
2021-08-10,2021,Aug,2021-08-01,Tue,FALSE,FALSE,363,18,384,351,18,117,769,12,30,307,8,87.5,86.5,86.8,84.6,96.7,3.3
2021-08-11,2021,Aug,2021-08-01,Wed,FALSE,FALSE,382,56,524,350,53,119,1780,32,30,234,12,66.9,63.2,64.4,61.3,91.6,8.4
2021-08-12,2021,Aug,2021-08-01,Thu,FALSE,FALSE,346,36,728,327,35,123,720,19,30,258,11,78.9,77,77.8,74.6,94.5,5.5
2021-08-13,2021,Aug,2021-08-01,Fri,FALSE,FALSE,334,25,382,310,24,141,1216,24,30,259,19,83.6,82.2,83.2,77.5,92.8,7.2
2021-08-14,2021,Aug,2021-08-01,Sat,FALSE,TRUE,137,30,303,131,27,113,502,6,30,107,2,81.7,79.3,79.6,78.1,95.6,4.4
2021-08-15,2021,Aug,2021-08-01,Sun,FALSE,TRUE,99,17,231,93,13,148,1498,6,30,87,3,93.6,90.6,90.9,87.9,93.9,6.1
2021-08-16,2021,Aug,2021-08-01,Mon,FALSE,FALSE,396,127,1170,347,122,148,2370,49,30,247,12,71.2,64.3,65.4,62.4,87.6,12.4
2021-08-17,2021,Aug,2021-08-01,Tue,FALSE,FALSE,351,30,334,334,29,142,1410,17,30,268,9,80.2,78.4,78.9,76.4,95.2,4.8
2021-08-18,2021,Aug,2021-08-01,Wed,FALSE,FALSE,357,48,562,325,49,122,698,32,30,238,17,73.2,70,71.4,66.7,91,9
2021-08-19,2021,Aug,2021-08-01,Thu,FALSE,FALSE,378,28,978,347,25,126,747,31,30,294,18,84.7,81.7,82.5,77.8,91.8,8.2
2021-08-20,2021,Aug,2021-08-01,Fri,FALSE,FALSE,301,18,351,290,17,141,1236,11,30,258,8,89,88.1,88.4,85.7,96.4,3.7
2021-08-21,2021,Aug,2021-08-01,Sat,FALSE,TRUE,117,26,393,103,22,116,885,14,30,92,8,89.3,84.4,85.5,78.6,88,12
2021-08-22,2021,Aug,2021-08-01,Sun,FALSE,TRUE,106,19,224,99,19,97,626,7,30,88,5,88.9,87.1,87.7,83,93.4,6.6
2021-08-23,2021,Aug,2021-08-01,Mon,FALSE,FALSE,443,15,295,426,14,121,634,16,30,392,12,92,91,91.2,88.5,96.2,3.6
2021-08-24,2021,Aug,2021-08-01,Tue,FALSE,FALSE,421,19,269,405,19,132,1022,16,30,343,15,84.7,84.5,85,81.5,96.2,3.8
2021-08-25,2021,Aug,2021-08-01,Wed,FALSE,FALSE,320,8,141,315,8,126,1050,5,30,306,5,97.1,97.1,97.2,95.6,98.4,1.6
2021-08-26,2021,Aug,2021-08-01,Thu,FALSE,FALSE,348,19,345,331,18,147,1980,17,30,294,11,88.8,87.2,87.6,84.5,95.1,4.9
2021-08-27,2021,Aug,2021-08-01,Fri,FALSE,FALSE,284,15,288,274,14,124,766,10,30,253,7,92.3,91.3,91.6,89.1,96.5,3.5
2021-08-28,2021,Aug,2021-08-01,Sat,FALSE,TRUE,97,29,390,86,27,167,1923,11,30,75,7,87.2,83.3,84.5,77.3,88.7,11.3
2021-08-29,2021,Aug,2021-08-01,Sun,FALSE,TRUE,125,35,561,111,30,133,1158,14,30,96,6,86.5,80.7,81.6,76.8,88.8,11.2
2021-08-30,2021,Aug,2021-08-01,Mon,FALSE,FALSE,422,37,410,389,35,153,1334,33,30,311,19,80,77.2,78.2,73.7,92.2,7.8
2021-08-31,2021,Aug,2021-08-01,Tue,FALSE,FALSE,394,44,698,367,41,132,1365,24,30,295,12,80.4,77.2,77.9,74.9,93.2,6.1
2021-09-01,2021,Sep,2021-09-01,Wed,FALSE,FALSE,355,60,1108,323,57,147,1540,32,30,226,15,70,66.5,67.9,63.7,91,9
2021-09-02,2021,Sep,2021-09-01,Thu,FALSE,FALSE,359,54,762,331,53,135,1312,28,30,254,14,76.7,73.6,74.7,70.8,92.2,7.8
2021-09-03,2021,Sep,2021-09-01,Fri,FALSE,FALSE,304,23,287,285,23,125,1599,19,30,239,13,83.9,82.1,82.9,78.6,93.8,6.3
2021-09-04,2021,Sep,2021-09-01,Sat,FALSE,TRUE,97,8,92,92,8,101,419,5,30,89,4,96.7,95.7,95.9,91.8,94.9,5.2
2021-09-05,2021,Sep,2021-09-01,Sun,FALSE,TRUE,72,20,303,69,21,108,583,3,30,62,2,89.9,88.6,88.9,86.1,95.8,4.2
2021-09-06,2021,Sep,2021-09-01,Mon,TRUE,TRUE,73,14,163,71,14,115,589,2,30,64,2,90.1,90.1,90.4,87.7,97.3,2.7
2021-09-07,2021,Sep,2021-09-01,Tue,FALSE,FALSE,420,90,708,364,92,153,1299,56,30,194,22,53.3,48.7,51.4,46.2,86.7,13.3
2021-09-08,2021,Sep,2021-09-01,Wed,FALSE,FALSE,374,57,342,354,57,137,900,20,30,221,11,62.4,60.9,62,59.1,94.7,5.4
2021-09-09,2021,Sep,2021-09-01,Thu,FALSE,FALSE,332,17,200,322,16,128,890,10,30,285,7,88.5,87.7,88,85.8,97,3
2021-09-10,2021,Sep,2021-09-01,Fri,FALSE,FALSE,341,15,445,326,13,142,3194,15,30,301,11,92.3,91.2,91.5,88.3,95.6,4.4
2021-09-11,2021,Sep,2021-09-01,Sat,FALSE,TRUE,104,45,856,94,39,114,357,10,30,81,5,86.2,81.8,82.7,77.9,90.4,9.6
2021-09-12,2021,Sep,2021-09-01,Sun,FALSE,TRUE,83,43,515,73,38,157,941,10,30,63,6,86.3,81.8,83.1,75.9,88,12.1
2021-09-13,2021,Sep,2021-09-01,Mon,FALSE,FALSE,359,21,348,345,20,150,1189,14,30,304,7,88.1,86.4,86.6,84.7,96.1,3.9
2021-09-14,2021,Sep,2021-09-01,Tue,FALSE,FALSE,355,21,374,347,21,142,914,8,30,306,5,88.2,87.4,87.6,86.2,97.8,2.3
2021-09-15,2021,Sep,2021-09-01,Wed,FALSE,FALSE,325,14,297,316,13,126,1235,9,30,293,5,92.7,91.6,91.7,90.2,97.2,2.8
2021-09-16,2021,Sep,2021-09-01,Thu,FALSE,FALSE,287,23,262,277,22,120,1356,10,30,236,6,85.2,84,84.3,82.2,96.5,3.5
2021-09-17,2021,Sep,2021-09-01,Fri,FALSE,FALSE,382,49,538,344,48,110,891,38,30,244,20,70.9,67.4,69.1,63.9,90.1,10
2021-09-18,2021,Sep,2021-09-01,Sat,FALSE,TRUE,91,38,546,81,37,133,847,10,30,68,4,84,78.2,79.1,74.7,89,11
2021-09-19,2021,Sep,2021-09-01,Sun,FALSE,TRUE,87,20,295,79,12,155,1070,8,30,72,2,91.1,84.7,85.1,82.8,90.8,9.2
2021-09-20,2021,Sep,2021-09-01,Mon,FALSE,FALSE,400,9,99,395,9,118,724,5,30,371,5,93.9,93.9,94,92.8,98.8,1.3
2021-09-21,2021,Sep,2021-09-01,Tue,FALSE,FALSE,349,13,302,341,13,125,2350,8,30,318,6,93.3,92.7,92.8,91.1,97.7,2.3
2021-09-22,2021,Sep,2021-09-01,Wed,FALSE,FALSE,313,31,674,299,27,135,2288,14,30,268,6,89.6,87.3,87.5,85.6,95.5,4.5
2021-09-23,2021,Sep,2021-09-01,Thu,FALSE,FALSE,363,79,753,317,82,166,1558,46,30,204,21,64.4,59.7,62,56.2,87.3,12.7
2021-09-24,2021,Sep,2021-09-01,Fri,FALSE,FALSE,306,19,238,289,19,150,783,17,30,251,15,86.9,86.3,86.9,82,94.4,5.6
2021-09-25,2021,Sep,2021-09-01,Sat,FALSE,TRUE,96,17,230,88,17,148,981,8,30,78,6,88.6,86.7,87.5,81.3,91.7,8.3
2021-09-26,2021,Sep,2021-09-01,Sun,FALSE,TRUE,105,45,503,94,39,171,1735,11,30,71,4,75.5,70.3,71.4,67.6,89.5,10.5
2021-09-27,2021,Sep,2021-09-01,Mon,FALSE,FALSE,343,16,453,330,16,112,1032,13,30,296,10,89.7,88.9,89.2,86.3,96.2,3.8
2021-09-28,2021,Sep,2021-09-01,Tue,FALSE,FALSE,357,8,121,345,8,121,634,12,30,331,8,95.9,94.8,95,92.7,96.6,3.4
2021-09-29,2021,Sep,2021-09-01,Wed,FALSE,FALSE,324,16,742,306,13,133,796,18,30,285,11,93.1,91.1,91.4,88,94.4,5.6
2021-09-30,2021,Sep,2021-09-01,Thu,FALSE,FALSE,271,13,257,257,12,141,1079,14,30,242,11,94.2,93.1,93.4,89.3,94.8,5.2
2021-10-01,2021,Oct,2021-10-01,Fri,FALSE,FALSE,288,27,1417,276,25,166,3065,12,30,240,8,87,85.7,86.1,83.3,95.8,4.2
2021-10-02,2021,Oct,2021-10-01,Sat,FALSE,TRUE,137,103,1431,115,84,168,1313,22,30,83,6,72.2,63.4,65,60.6,83.9,16.1
2021-10-03,2021,Oct,2021-10-01,Sun,FALSE,TRUE,64,34,673,61,24,185,1196,3,30,56,1,91.8,88.9,89.1,87.5,95.3,4.7
2021-10-04,2021,Oct,2021-10-01,Mon,FALSE,FALSE,357,15,199,349,15,125,1400,8,30,323,6,92.6,92,92.2,90.5,97.8,2.2
2021-10-05,2021,Oct,2021-10-01,Tue,FALSE,FALSE,307,20,785,297,18,136,846,10,30,267,7,89.9,89,89.3,87,96.7,3.3
