offence_group,ucr_code,violation,region,year,incidents,incidents_per_100k,base_year,index
Assaults,1410,Aggravated assault,Region,2010,37,7.15,1998,118.5737976782753
Assaults,1410,Aggravated assault,Region,2011,29,5.54,1998,91.87396351575455
Assaults,1410,Aggravated assault,Region,2012,25,4.73,1998,78.44112769485905
Assaults,1410,Aggravated assault,Region,2013,34,6.38,1998,105.80431177446101
Assaults,1410,Aggravated assault,Region,2014,33,6.14,1998,101.82421227197345
Assaults,1410,Aggravated assault,Region,2015,33,6.09,1998,100.99502487562188
Assaults,1410,Aggravated assault,Region,2016,27,4.88,1998,80.92868988391376
Assaults,1410,Aggravated assault,Region,2017,39,6.9,1998,114.42786069651743
Assaults,1410,Aggravated assault,Region,2018,33,5.69,1998,94.3615257048093
Assaults,1410,Aggravated assault,Region,2019,54,9.08,1998,150.58043117744612
Assaults,1410,Aggravated assault,Region,2020,39,6.43,1998,106.6334991708126
Assaults,1410,Aggravated assault,Region,2021,50,8.14,1998,134.99170812603649
Assaults,1410,Aggravated assault,Region,2022,45,7.04,1998,116.74958540630183
Assaults,1410,Aggravated assault,Region,2023,41,6.07,1998,100.66334991708126
Assaults,1410,Aggravated assault,Region,2024,30,4.23,1998,70.1492537313433
Assaults,1410,Aggravated assault,Region,2025,28,3.94,1998,65.33996683250413
Assaults,1430,Assault,Canada,1998,183999,610.14,1998,100
Assaults,1430,Assault,Canada,1999,181330,596.4,1998,97.74805782279476
Assaults,1430,Assault,Canada,2000,190467,620.64,1998,101.72091651096468
Assaults,1430,Assault,Canada,2001,191147,616.23,1998,100.99813157635953
Assaults,1430,Assault,Canada,2002,189185,603.39,1998,98.89369652866556
Assaults,1430,Assault,Canada,2003,188667,596.3,1998,97.73166814173796
Assaults,1430,Assault,Canada,2004,184883,578.83,1998,94.86839086111385
Assaults,1430,Assault,Canada,2005,183231,568.24,1998,93.13272363719803
Assaults,1430,Assault,Canada,2006,183920,564.68,1998,92.54925099157569
Assaults,1430,Assault,Canada,2007,180790,549.72,1998,90.09735470547744
Assaults,1430,Assault,Canada,2008,181013,544.47,1998,89.23689644999509
Assaults,1430,Assault,Canada,2009,180564,536.94,1998,88.00275346641754
