school_name,address,latitude,longitude
St Andrew's Senior Public School,65 Victoria Ave Cambridge ON N1S 1X2,43.35057155,-80.32173645150897
St Jacobs Public School,72 Queensway Dr Jacobs ON N0B 2N0,43.53712955,-80.55584758351107
St. Agnes,"254 Neilson Avenue Waterloo, ON N2J 2M3",43.4741815,-80.50231916927908
St. Aloysius,"504 Connaught Street Kitchener, ON N2C 1C2",43.42893205,-80.44560320272623
St. Anne Camb,"127 Elgin St. N., Cambridge, ON N1R 5H6",43.36534015,-80.2990813710108
St. Anne Kit,"250 East Avenue Kitchener, ON N2H 1Z4",43.451203899999996,-80.47018390136591
St. Augustine,"177 Bismark Drive Cambridge, ON N1S 4Y2",43.36948045,-80.33574853705522
St. Benedict Catholic Secondary School,"50 Saginaw Parkway Cambridge, ON N1R 5W1",43.39306555,-80.30035634773316
St. Bernadette,"245 Lorne Ave., Kitchener, ON N2M 3Y9",43.434059899999994,-80.49142270283606
St. Boniface,"225 Starlight Ave, Breslau, ON N0B 1M0",43.47153428027634,-80.4151057967668
St. Brigid,"50 Broom St., Ayr, ON N0B 1E0",43.29017435,-80.46049101841237
St. Clement,"3639 Lobsinger Line St. Clements, ON N0B 2M0",43.523812649999996,-80.65251205088876
St. Daniel,"39 Midland Drive Kitchener, ON N2A 2A9",43.4483141,-80.4478973273295
St. David Catholic Secondary School,"4 High Street Waterloo, ON N2L 3X5",43.4840832,-80.5306499426659
St. Dominic Savio,"3 Westforest Trail Kitchener, ON N2N 3A6",43.433836549999995,-80.54042064982094
St. Elizabeth,"50 Adler Drive Cambridge, ON N3C 4B7",43.426367400000004,-80.29064816141667
St. Gabriel,"15 Baldwin Drive Cambridge, ON N3C 0B4",43.442173600000004,-80.3128518585427
St. Gregory,"34 Osborne Street Cambridge, ON N1S 3H1",43.34968715,-80.32780306926458
St. Isidore (Virtual),Based out of St. Boniface,NA,NA
St. John,"99 Strange Street Kitchener, ON N2G 1R4",43.44878215,-80.50951778476119
St. Joseph,"980 Westminster Dr. S, Cambridge, ON N3H 1V2",43.389243300000004,-80.36683667031251
St. Josephine Bakhita,"25 Beckview Dr Kitchener, ON N2R 1R8",43.377523302273204,-80.48138335485928
St. Kateri Tekakwitha,"560 Pioneer Drive Kitchener, ON N2P 1P2",43.393690250000006,-80.45054899828011
St. Luke,"550 Chesapeake Dr., Waterloo, ON N2K 4G5",43.5092627,-80.50410890964645
St. Margaret of Scotland,"210 Cowan Boulevard Cambridge, ON N1T 1V4",43.3888954,-80.29820320979113
St. Mark,"240 Autumn Hill Cres Kitchener, ON N2N 1K8",43.420465300000004,-80.5316646375
St. Mary's High School,"1500 Block Line Road Kitchener, ON N2C 2S2",43.4201949,-80.46773
St. Matthew,"405 Pastern Trail Waterloo, ON N2K 3V6",43.494889,-80.49444432093048
St. Michael,"1150 Concession Road Cambridge, ON N3H 4L6",43.39599895,-80.34577573533701
St. Nicholas,"525 Laurelwood Dr., Waterloo, ON N2V 2N1",43.471908600000006,-80.58697414936857
St. Paul,"45 Birchcliff Avenue Kitchener, ON N2M 4V7",43.426467,-80.516835
St. Peter,"92 Avenue Road Cambridge, ON N1R 1C1",43.3778596,-80.31040790153307
St. Teresa Kitchener,"270 Edwin Street Kitchener, ON N2H 4P4",43.46774785,-80.4876731293018
St. Teresa of Calcutta,"520 Saginaw Parkway Cambridge, ON N1T 1W9",43.3912183,-80.28336512356648
St. Timothy,"15 Bechtel Drive Kitchener, ON N2P 1T4",43.3926099,-80.43733731001443
St. Vincent de Paul,"30 Faial Rd. Cambridge, ON N1R 7C3",43.3460366,-80.29039007627179
Stanley Park Senior Public School,191 Hickson Dr Kitchener ON N2B 2H8,43.45344765,-80.44823075357635
Stewart Avenue Public School,145 Stewart Ave Cambridge ON N1R 2V5,43.348216449999995,-80.30266688236912
Suddaby Public School,171 Frederick St Kitchener ON N2H 2M6,43.45218635,-80.48249472429079
Summer School,151 Weber St S Waterloo ON N2J 2A9,43.4643572,-80.5042809
Sunnyside Senior Public School,1042 Weber St E Kitchener ON N2A 1B6,43.43648805,-80.45100592377618
Tait Street Public School,184 Tait St Cambridge ON N1S 3G3,43.33844315,-80.3231026497435
