date,metric,value,holiday,year,month,month_num,year_month,day_of_week,type_of_day,weekend_holiday,covid_lockdown
2019-03-01,Calls Abandoned < Service Level,21,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Calls Handled,312,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Calls Handled < Service Level,254,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Calls Presented,342,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Max Handle Time,951,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Max Queue Time,464,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Calls Abandoned,8.8,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Calls Handled,91.2,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Service Level Met (Handled),81.4,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),74.3,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Service Level Met (With Abandoned Calls Counted Positively),80.4,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Percentage of Service Level Met (Without Abandoned Calls),79.1,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-01,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Fri,Weekday,FALSE,FALSE
2019-03-02,Avg Handle Time,95,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Avg Queue Time,45,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Avg Speed of Answer,43,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Calls Abandoned,8,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Calls Abandoned < Service Level,4,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Calls Handled,114,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Calls Handled < Service Level,91,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Calls Presented,122,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Max Handle Time,309,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Max Queue Time,1811,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Calls Abandoned,6.6,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Calls Handled,93.4,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Service Level Met (Handled),79.8,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),74.6,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Service Level Met (With Abandoned Calls Counted Positively),77.9,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Percentage of Service Level Met (Without Abandoned Calls),77.1,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-02,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Sat,Weekend,TRUE,FALSE
2019-03-03,Avg Handle Time,116,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Avg Queue Time,19,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Avg Speed of Answer,20,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Calls Abandoned,6,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Calls Abandoned < Service Level,6,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Calls Handled,80,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Calls Handled < Service Level,70,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Calls Presented,86,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Max Handle Time,363,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Max Queue Time,245,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Calls Abandoned,7,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Calls Handled,93,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Service Level Met (Handled),87.5,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),81.4,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Service Level Met (With Abandoned Calls Counted Positively),88.4,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Percentage of Service Level Met (Without Abandoned Calls),87.5,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-03,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Sun,Weekend,TRUE,FALSE
2019-03-04,Avg Handle Time,83,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Avg Queue Time,9,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Avg Speed of Answer,8,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Calls Abandoned,9,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Calls Abandoned < Service Level,8,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Calls Handled,283,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Calls Handled < Service Level,280,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Calls Presented,292,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Max Handle Time,645,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Max Queue Time,363,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Calls Abandoned,3.1,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Calls Handled,96.9,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Service Level Met (Handled),98.9,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),95.9,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Service Level Met (With Abandoned Calls Counted Positively),98.6,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Percentage of Service Level Met (Without Abandoned Calls),98.6,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-04,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Mon,Weekday,FALSE,FALSE
2019-03-05,Avg Handle Time,105,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Avg Queue Time,21,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Avg Speed of Answer,15,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Calls Abandoned,23,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Calls Abandoned < Service Level,16,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Calls Handled,275,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Calls Handled < Service Level,253,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Calls Presented,298,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Max Handle Time,953,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Max Queue Time,871,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Calls Abandoned,7.7,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Calls Handled,92.3,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Service Level Met (Handled),92,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),84.9,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Service Level Met (With Abandoned Calls Counted Positively),90.3,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Percentage of Service Level Met (Without Abandoned Calls),89.7,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-05,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Tue,Weekday,FALSE,FALSE
2019-03-06,Avg Handle Time,94,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Avg Queue Time,17,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Avg Speed of Answer,16,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Calls Abandoned,19,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Calls Abandoned < Service Level,12,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Calls Handled,263,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Calls Handled < Service Level,239,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Calls Presented,282,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Max Handle Time,688,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Max Queue Time,441,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Calls Abandoned,6.7,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Calls Handled,93.3,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Service Level Met (Handled),90.9,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),84.8,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Service Level Met (With Abandoned Calls Counted Positively),89,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Percentage of Service Level Met (Without Abandoned Calls),88.5,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-06,Service Level (sec),30,FALSE,2019,Mar,3,2019-03-01,Wed,Weekday,FALSE,FALSE
2019-03-07,Avg Handle Time,108,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Avg Queue Time,10,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Avg Speed of Answer,10,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Calls Abandoned,17,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Calls Abandoned < Service Level,13,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Calls Handled,258,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Calls Handled < Service Level,247,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Calls Presented,275,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Max Handle Time,688,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Max Queue Time,225,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Calls Abandoned,6.2,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Calls Handled,93.8,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Service Level Met (Handled),95.7,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Service Level Met (With Abandoned Calls Counted Negatively),89.8,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Service Level Met (With Abandoned Calls Counted Positively),94.6,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
2019-03-07,Percentage of Service Level Met (Without Abandoned Calls),94.3,FALSE,2019,Mar,3,2019-03-01,Thu,Weekday,FALSE,FALSE
