geo,date,percent,percent_lower,percent_upper
Region,2023-02-01,69.7,67.34804321855194,72.05195678144807
Region,2023-03-01,69.3,66.94804321855193,71.65195678144806
Region,2023-04-01,69.4,67.04804321855194,71.75195678144807
Region,2023-05-01,69.8,67.44804321855193,72.15195678144806
Region,2023-06-01,70.2,67.84804321855194,72.55195678144807
Region,2023-07-01,70.6,68.44403961700594,72.75596038299405
Region,2023-08-01,70.6,68.44403961700594,72.75596038299405
Region,2023-09-01,70.5,68.34403961700595,72.65596038299405
Region,2023-10-01,70,67.84403961700595,72.15596038299405
Region,2023-11-01,69.9,67.74403961700595,72.05596038299406
Region,2023-12-01,69.9,67.74403961700595,72.05596038299406
Region,2024-01-01,69.7,67.54403961700595,71.85596038299406
Region,2024-02-01,70,67.84403961700595,72.15596038299405
Region,2024-03-01,70.5,68.34403961700595,72.65596038299405
Region,2024-04-01,71,68.84403961700595,73.15596038299405
Region,2024-05-01,70.9,68.74403961700595,73.05596038299406
Region,2024-06-01,70.9,68.74403961700595,73.05596038299406
Region,2024-07-01,70.7,68.54403961700595,72.85596038299406
Region,2024-08-01,70.2,68.04403961700595,72.35596038299406
Region,2024-09-01,69.4,67.24403961700595,71.55596038299406
Region,2024-10-01,69.3,67.14403961700594,71.45596038299405
Region,2024-11-01,69.8,67.64403961700594,71.95596038299405
Region,2024-12-01,70.6,68.44403961700594,72.75596038299405
Region,2025-01-01,71.2,68.84804321855194,73.55195678144807
Region,2025-02-01,71.1,68.74804321855193,73.45195678144806
Region,2025-03-01,71.1,68.74804321855193,73.45195678144806
Region,2025-04-01,71.1,68.74804321855193,73.45195678144806
Region,2025-05-01,71.1,68.74804321855193,73.45195678144806
Region,2025-06-01,70.5,68.14804321855193,72.85195678144807
Region,2025-07-01,69.7,67.34804321855194,72.05195678144807
Region,2025-08-01,69.5,67.14804321855193,71.85195678144807
Region,2025-09-01,68.8,66.44804321855193,71.15195678144806
Region,2025-10-01,69.1,66.74804321855193,71.45195678144806
Region,2025-11-01,68.9,66.54804321855194,71.25195678144807
Region,2025-12-01,70.1,67.74804321855193,72.45195678144806
Region,2026-01-01,70.6,68.24804321855193,72.95195678144806
Region,2026-02-01,70.9,68.54804321855194,73.25195678144807
Region,2026-03-01,70.8,68.44804321855193,73.15195678144806
Region,2026-04-01,70.5,68.14804321855193,72.85195678144807
Region,2026-05-01,70,67.64804321855193,72.35195678144807
Region,2026-06-01,70,67.64804321855193,72.35195678144807
Region,2026-07-01,69.9,67.54804321855194,72.25195678144807
Region,2026-08-01,70.1,67.74804321855193,72.45195678144806
