geo,date,percent,percent_lower,percent_upper
Ontario,2022-10-01,5.4,5.0080072030919895,5.791992796908011
Ontario,2022-11-01,5.5,5.108007203091989,5.891992796908011
Ontario,2022-12-01,5.4,5.0080072030919895,5.791992796908011
Ontario,2023-01-01,5.4,5.0080072030919895,5.791992796908011
Ontario,2023-02-01,5.2,4.808007203091989,5.591992796908011
Ontario,2023-03-01,5.2,4.808007203091989,5.591992796908011
Ontario,2023-04-01,5.1,4.708007203091989,5.4919927969080105
Ontario,2023-05-01,5.3,4.908007203091989,5.691992796908011
Ontario,2023-06-01,5.4,5.0080072030919895,5.791992796908011
Ontario,2023-07-01,5.6,5.208007203091989,5.9919927969080105
Ontario,2023-08-01,5.7,5.308007203091989,6.091992796908011
Ontario,2023-09-01,5.7,5.308007203091989,6.091992796908011
Ontario,2023-10-01,5.9,5.5080072030919895,6.291992796908011
Ontario,2023-11-01,6,5.608007203091989,6.391992796908011
Ontario,2023-12-01,6.2,5.808007203091989,6.591992796908011
Ontario,2024-01-01,6.1,5.708007203091989,6.4919927969080105
Ontario,2024-02-01,6.3,5.908007203091989,6.691992796908011
Ontario,2024-03-01,6.5,6.108007203091989,6.891992796908011
Ontario,2024-04-01,6.7,6.308007203091989,7.091992796908011
Ontario,2024-05-01,6.8,6.408007203091989,7.191992796908011
Ontario,2024-06-01,6.8,6.408007203091989,7.191992796908011
Ontario,2024-07-01,6.9,6.5080072030919895,7.291992796908011
Ontario,2024-08-01,7,6.608007203091989,7.391992796908011
Ontario,2024-09-01,7,6.608007203091989,7.391992796908011
Ontario,2024-10-01,7.1,6.708007203091989,7.4919927969080105
Ontario,2024-11-01,7.3,6.908007203091989,7.691992796908011
Ontario,2024-12-01,7.5,7.108007203091989,7.891992796908011
Ontario,2025-01-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2025-02-01,7.5,7.108007203091989,7.891992796908011
Ontario,2025-03-01,7.5,7.108007203091989,7.891992796908011
Ontario,2025-04-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2025-05-01,7.7,7.308007203091989,8.091992796908011
Ontario,2025-06-01,7.8,7.408007203091989,8.19199279690801
Ontario,2025-07-01,7.8,7.408007203091989,8.19199279690801
Ontario,2025-08-01,7.8,7.408007203091989,8.19199279690801
Ontario,2025-09-01,7.8,7.408007203091989,8.19199279690801
Ontario,2025-10-01,7.7,7.308007203091989,8.091992796908011
Ontario,2025-11-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2025-12-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2026-01-01,7.5,7.108007203091989,7.891992796908011
Ontario,2026-02-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2026-03-01,7.5,7.108007203091989,7.891992796908011
Ontario,2026-04-01,7.6,7.208007203091989,7.9919927969080105
Ontario,2026-05-01,7.4,7.0080072030919895,7.791992796908011
Ontario,2026-06-01,7.2,6.808007203091989,7.591992796908011
Ontario,2026-07-01,6.9,6.5080072030919895,7.291992796908011
Ontario,2026-08-01,6.9,6.5080072030919895,7.291992796908011
Region,2021-09-01,6.6,4.6400360154599465,8.559963984540053
Region,2021-10-01,6.3,4.340036015459946,8.259963984540054
Region,2021-11-01,5.4,3.4400360154599467,7.3599639845400535
Region,2021-12-01,5.3,3.340036015459946,7.259963984540054
Region,2022-01-01,5.3,3.7320288123679566,6.867971187632043
Region,2022-02-01,5.3,3.7320288123679566,6.867971187632043
Region,2022-03-01,5.4,3.832028812367957,6.967971187632044
Region,2022-04-01,5.3,3.7320288123679566,6.867971187632043
Region,2022-05-01,5.3,3.7320288123679566,6.867971187632043
Region,2022-06-01,5.5,3.9320288123679568,7.067971187632043
Region,2022-07-01,5.7,4.524021609275968,6.875978390724033
Region,2022-08-01,6,4.824021609275968,7.175978390724032
Region,2022-09-01,6,4.824021609275968,7.175978390724032
Region,2022-10-01,6,4.824021609275968,7.175978390724032
Region,2022-11-01,6,4.824021609275968,7.175978390724032
Region,2022-12-01,6.1,4.924021609275967,7.275978390724032
Region,2023-01-01,5.8,4.624021609275967,6.975978390724032
Region,2023-02-01,5.6,4.424021609275967,6.775978390724032
Region,2023-03-01,5.8,4.624021609275967,6.975978390724032
Region,2023-04-01,6.2,5.024021609275968,7.375978390724033
Region,2023-05-01,6.3,5.124021609275967,7.475978390724032
Region,2023-06-01,6.2,5.024021609275968,7.375978390724033
Region,2023-07-01,6,4.824021609275968,7.175978390724032
Region,2023-08-01,5.8,4.624021609275967,6.975978390724032
Region,2023-09-01,5.6,4.424021609275967,6.775978390724032
Region,2023-10-01,5.8,4.624021609275967,6.975978390724032
Region,2023-11-01,6,4.824021609275968,7.175978390724032
Region,2023-12-01,6.3,5.124021609275967,7.475978390724032
Region,2024-01-01,6.5,5.520018007729973,7.479981992270027
Region,2024-02-01,6.3,5.320018007729973,7.279981992270026
Region,2024-03-01,6.3,5.320018007729973,7.279981992270026
Region,2024-04-01,6.2,5.220018007729974,7.179981992270027
Region,2024-05-01,6.4,5.420018007729974,7.379981992270027
Region,2024-06-01,6.6,5.620018007729973,7.579981992270026
Region,2024-07-01,6.8,5.820018007729973,7.779981992270026
Region,2024-08-01,7.3,6.320018007729973,8.279981992270027
Region,2024-09-01,7.9,6.920018007729974,8.879981992270027
Region,2024-10-01,8,7.020018007729973,8.979981992270027
Region,2024-11-01,7.9,6.920018007729974,8.879981992270027
Region,2024-12-01,7.6,6.620018007729973,8.579981992270026
Region,2025-01-01,8,6.824021609275968,9.175978390724032
Region,2025-02-01,8.1,6.924021609275967,9.275978390724031
Region,2025-03-01,8,6.824021609275968,9.175978390724032
Region,2025-04-01,7.6,6.424021609275967,8.775978390724031
Region,2025-05-01,7.3,6.124021609275967,8.475978390724032
Region,2025-06-01,7.2,6.024021609275968,8.375978390724033
Region,2025-07-01,7.3,6.124021609275967,8.475978390724032
Region,2025-08-01,7.2,6.024021609275968,8.375978390724033
Region,2025-09-01,7.3,6.124021609275967,8.475978390724032
Region,2025-10-01,7.6,6.424021609275967,8.775978390724031
Region,2025-11-01,8,6.824021609275968,9.175978390724032
Region,2025-12-01,8.3,7.124021609275968,9.475978390724032
Region,2026-01-01,8.3,6.928025210821963,9.671974789178037
Region,2026-02-01,8.6,7.228025210821962,9.971974789178038
Region,2026-03-01,8.6,7.228025210821962,9.971974789178038
Region,2026-04-01,9,7.628025210821963,10.371974789178037
Region,2026-05-01,8.7,7.328025210821962,10.071974789178036
Region,2026-06-01,8.5,7.128025210821963,9.871974789178037
Region,2026-07-01,8.1,6.532028812367956,9.667971187632043
Region,2026-08-01,8.2,6.632028812367956,9.767971187632043
