geo,date,percent,percent_lower,percent_upper
Canada,2025-02-01,1.9952526412047478,1.4508923501506148,2.5396129322588807
Canada,2025-03-01,1.894224557892854,1.350660095890333,2.437789019895375
Canada,2025-04-01,1.6597349465336642,1.117248138531468,2.20222175453586
Canada,2025-05-01,1.4554181424064838,0.913923515467521,1.9969127693454465
Canada,2025-06-01,1.4354876116114745,0.8947569502665466,1.9762182729564026
Canada,2025-07-01,1.4367441523643887,0.8907720959376085,1.9827162087911687
Canada,2025-08-01,1.321679401095932,0.7761734877481224,1.8671853144437418
Canada,2025-09-01,1.1290672189976148,0.5843311967054682,1.6738032412897614
Canada,2025-10-01,1.1045311755848664,0.5604922191745874,1.6485701319951453
Canada,2025-11-01,1.2597108718525263,0.716382862224717,1.8030388814803355
Canada,2025-12-01,1.252606600992312,0.7104819064358004,1.7947312955488237
Canada,2026-01-01,1.0190620040915421,0.47288922098787156,1.5652347871952128
Canada,2026-02-01,0.63188516381325055,0.08695741190002082,1.1768129157264804
Canada,2026-03-01,0.4342458374843261,-0.11042476153986058,0.9789164365085128
Canada,2026-04-01,0.32709968434403436,-0.21774492088901276,0.8719442895770815
Canada,2026-05-01,0.47929264989221565,-0.06565069484884767,1.0242359946332789
Canada,2026-06-01,0.49728730726543713,-0.04699412828815275,1.041568742819027
Canada,2026-07-01,0.7020098900105243,0.13485343337553002,1.2691663466455185
Canada,2026-08-01,0.8121798411821812,0.24486408003715399,1.3794956023272085
Ontario,2021-09-01,5.89933759836947,4.628795356225801,7.169879840513138
Ontario,2021-10-01,4.885481312442597,3.636401768681507,6.134560856203686
Ontario,2021-11-01,4.5683324623889465,3.3338877514242,5.802777173353693
Ontario,2021-12-01,5.05775192735054,3.8263553116418176,6.289148543059262
Ontario,2022-01-01,5.653387885992323,4.396340794478507,6.910434977506138
Ontario,2022-02-01,6.372147860461896,5.110724337573229,7.633571383350564
Ontario,2022-03-01,6.130654654986611,4.8740938889289325,7.38721542104429
Ontario,2022-04-01,6.628551009469352,5.378673617973105,7.8784284009656
Ontario,2022-05-01,7.0247877011162085,5.773121256277329,8.276454145955089
Ontario,2022-06-01,7.348965517241379,6.0945885671357445,8.603342467347014
